simiter,remiter,R,W,numerical,elementcount,nodecount,meshtime,tthtime,nextime
27,1,1.2755102040816327e-05,4.795918367346939e-06,4.5785e-11,10950,3705,2.129290819168091,9.733049869537354,0.14860129356384277
27,2,1.2755102040816327e-05,4.795918367346939e-06,4.39294e-11,29694,9874,6.5592358112335205,33.75491285324097,0.29985594749450684
27,3,1.2755102040816327e-05,4.795918367346939e-06,4.38593e-11,45438,14742,12.744737148284912,58.092222690582275,0.4768521785736084
27,4,1.2755102040816327e-05,4.795918367346939e-06,4.38593e-11,55729,17958,17.17162013053894,0.9881489276885986,0.43799281120300293
28,0,1.2857142857142857e-05,4.714285714285714e-06,8.38881e-11,400,135,0.3939788341522217,0.5765490531921387,0.04514431953430176
28,0,1.2857142857142857e-05,4.714285714285714e-06,6.20706e-11,2218,756,0.9770841598510742,1.9919624328613281,0.05063581466674805
28,1,1.2857142857142857e-05,4.714285714285714e-06,4.67026e-11,10314,3469,2.0700724124908447,8.81317400932312,0.13101625442504883
28,2,1.2857142857142857e-05,4.714285714285714e-06,4.52839e-11,29366,9737,6.31391167640686,33.29458570480347,0.32460713386535645
28,3,1.2857142857142857e-05,4.714285714285714e-06,4.52839e-11,45431,14759,13.713824033737183,0.847916841506958,0.30382728576660156
28,4,1.2857142857142857e-05,4.714285714285714e-06,4.52839e-11,45431,14759,12.578721046447754,0.8567423820495605,0.29498720169067383
29,0,1.2959183673469387e-05,4.63265306122449e-06,8.49927e-11,421,140,0.3871908187866211,0.5767502784729004,0.040549278259277344
29,0,1.2959183673469387e-05,4.63265306122449e-06,6.9863e-11,2239,753,0.9428970813751221,1.8531694412231445,0.05346345901489258
29,1,1.2959183673469387e-05,4.63265306122449e-06,4.77452e-11,10312,3462,2.0754449367523193,8.744536399841309,0.1406078338623047
29,2,1.2959183673469387e-05,4.63265306122449e-06,4.6572e-11,28864,9596,6.043172121047974,32.04856276512146,0.3596487045288086
29,3,1.2959183673469387e-05,4.63265306122449e-06,4.65228e-11,44571,14503,12.19478964805603,57.453214168548584,0.46502208709716797
29,4,1.2959183673469387e-05,4.63265306122449e-06,4.65228e-11,55208,17780,16.43224310874939,1.0464394092559814,0.5156161785125732
30,0,1.306122448979592e-05,4.551020408163265e-06,1.09771e-10,317,114,0.3263885974884033,0.5338914394378662,0.03742527961730957
30,0,1.306122448979592e-05,4.551020408163265e-06,9.22351e-11,2131,720,0.7991814613342285,1.7109830379486084,0.06148529052734375
30,1,1.306122448979592e-05,4.551020408163265e-06,9.22351e-11,9346,3146,2.3935396671295166,0.37870264053344727,0.050934553146362305
30,2,1.306122448979592e-05,4.551020408163265e-06,9.22351e-11,9346,3146,2.1441128253936768,0.3808095455169678,0.04921984672546387
30,3,1.306122448979592e-05,4.551020408163265e-06,9.22351e-11,9346,3146,2.184177875518799,0.37023234367370605,0.055832862854003906
30,4,1.306122448979592e-05,4.551020408163265e-06,9.22351e-11,9346,3146,2.370816946029663,0.38299036026000977,0.05139327049255371
31,0,1.316326530612245e-05,4.469387755102041e-06,1.17402e-10,281,105,0.32164716720581055,0.5032711029052734,0.038240909576416016
31,0,1.316326530612245e-05,4.469387755102041e-06,9.38889e-11,2450,839,0.829265832901001,1.872936725616455,0.05496835708618164
31,1,1.316326530612245e-05,4.469387755102041e-06,5.24763e-11,10831,3652,2.3736612796783447,9.879936218261719,0.1295788288116455
31,2,1.316326530612245e-05,4.469387755102041e-06,5.24763e-11,28902,9608,6.816073894500732,0.6540000438690186,0.13386106491088867
31,3,1.316326530612245e-05,4.469387755102041e-06,5.24763e-11,28902,9608,6.538681507110596,0.7309508323669434,0.12970685958862305
31,4,1.316326530612245e-05,4.469387755102041e-06,5.24763e-11,28902,9608,6.520524501800537,0.742103099822998,0.15239715576171875
32,0,1.326530612244898e-05,4.3877551020408165e-06,1.19262e-10,285,107,0.3561553955078125,0.5528039932250977,0.03828072547912598
32,0,1.326530612244898e-05,4.3877551020408165e-06,9.72539e-11,2434,845,0.8387107849121094,1.959583044052124,0.06315755844116211
32,1,1.326530612244898e-05,4.3877551020408165e-06,5.33989e-11,10176,3435,2.440774917602539,8.463324308395386,0.13064217567443848
32,2,1.326530612244898e-05,4.3877551020408165e-06,5.15012e-11,27838,9260,6.044529914855957,29.925176858901978,0.3303501605987549
32,3,1.326530612244898e-05,4.3877551020408165e-06,5.14352e-11,44122,14379,12.203158140182495,55.612598180770874,0.47061657905578613
32,4,1.326530612244898e-05,4.3877551020408165e-06,5.14352e-11,55630,17961,18.934937238693237,1.0230543613433838,0.4992697238922119
33,0,1.3367346938775512e-05,4.306122448979592e-06,1.21023e-10,289,108,0.36176371574401855,0.696845531463623,0.0523219108581543
33,0,1.3367346938775512e-05,4.306122448979592e-06,8.75779e-11,2560,879,0.9689295291900635,2.0117568969726562,0.058094024658203125
33,1,1.3367346938775512e-05,4.306122448979592e-06,5.50899e-11,10609,3573,2.234039545059204,9.00701904296875,0.1413133144378662
33,2,1.3367346938775512e-05,4.306122448979592e-06,5.31768e-11,28143,9352,6.211603164672852,30.1163272857666,0.32859039306640625
33,3,1.3367346938775512e-05,4.306122448979592e-06,5.28492e-11,44865,14611,11.926149845123291,56.54882216453552,0.4722604751586914
33,4,1.3367346938775512e-05,4.306122448979592e-06,5.2952e-11,56859,18268,17.25740337371826,78.0847840309143,0.633049488067627
34,0,1.3469387755102042e-05,4.224489795918368e-06,1.34195e-10,221,91,0.3162660598754883,1.1602826118469238,0.049469709396362305
34,0,1.3469387755102042e-05,4.224489795918368e-06,1.23241e-10,2863,1013,1.6678991317749023,2.4178578853607178,0.06123065948486328
34,1,1.3469387755102042e-05,4.224489795918368e-06,5.66501e-11,10827,3638,2.5492963790893555,9.749320030212402,0.15015172958374023
34,2,1.3469387755102042e-05,4.224489795918368e-06,5.66501e-11,27935,9328,6.524514675140381,0.735663890838623,0.1512000560760498
